事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-07-10,豐原安康一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,194,195,1,豐原安康一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 1 人
2026-07-10,豐原安康一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,630,631,1,豐原安康一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-07-10,豐原安康一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,453,454,1,豐原安康一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-11,南屯建功1號,隨到隨辦,二房型,關懷戶,名冊總人數變化,22,23,1,南屯建功1號／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-07-11,南屯建功1號,隨到隨辦,二房型,關懷戶,待遞補人數變化,22,23,1,南屯建功1號／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-11,南屯精科,隨到隨辦,一房型,一般戶,已放棄人數變化,661,662,1,南屯精科／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-11,南屯精科,隨到隨辦,一房型,一般戶,已遞補人數變化,901,900,-1,南屯精科／隨到隨辦／一房型／一般戶 已遞補人數減少 1 人
2026-07-11,南屯精科,隨到隨辦,二房型,一般戶,已放棄人數變化,247,248,1,南屯精科／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-11,南屯精科,隨到隨辦,二房型,一般戶,待遞補人數變化,759,758,-1,南屯精科／隨到隨辦／二房型／一般戶 待遞補人數減少 1 人
2026-07-11,大里光正一期,隨到隨辦,三房型,一般戶,已放棄人數變化,57,58,1,大里光正一期／隨到隨辦／三房型／一般戶 已放棄人數增加 1 人
2026-07-11,大里光正一期,隨到隨辦,三房型,一般戶,待遞補人數變化,201,200,-1,大里光正一期／隨到隨辦／三房型／一般戶 待遞補人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,一房型,一般戶,已放棄人數變化,183,184,1,梧棲三民／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-11,梧棲三民,隨到隨辦,一房型,一般戶,已遞補人數變化,540,539,-1,梧棲三民／隨到隨辦／一房型／一般戶 已遞補人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,一房型,關懷戶,名冊總人數變化,328,327,-1,梧棲三民／隨到隨辦／一房型／關懷戶 名冊總人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,一房型,關懷戶,已遞補人數變化,270,269,-1,梧棲三民／隨到隨辦／一房型／關懷戶 已遞補人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,三房型,關懷戶,已放棄人數變化,39,40,1,梧棲三民／隨到隨辦／三房型／關懷戶 已放棄人數增加 1 人
2026-07-11,梧棲三民,隨到隨辦,三房型,關懷戶,已遞補人數變化,37,36,-1,梧棲三民／隨到隨辦／三房型／關懷戶 已遞補人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,二房型,關懷戶,名冊總人數變化,228,227,-1,梧棲三民／隨到隨辦／二房型／關懷戶 名冊總人數減少 1 人
2026-07-11,梧棲三民,隨到隨辦,二房型,關懷戶,已遞補人數變化,140,139,-1,梧棲三民／隨到隨辦／二房型／關懷戶 已遞補人數減少 1 人
2026-07-12,南屯建功2、3號,隨到隨辦,三房型,一般戶,已放棄人數變化,8,9,1,南屯建功2、3號／隨到隨辦／三房型／一般戶 已放棄人數增加 1 人
2026-07-12,南屯建功2、3號,隨到隨辦,三房型,一般戶,待遞補人數變化,70,69,-1,南屯建功2、3號／隨到隨辦／三房型／一般戶 待遞補人數減少 1 人
2026-07-12,太平育賢二期,隨到隨辦,一房型,一般戶,已放棄人數變化,383,384,1,太平育賢二期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-12,太平育賢二期,隨到隨辦,一房型,一般戶,待遞補人數變化,1462,1461,-1,太平育賢二期／隨到隨辦／一房型／一般戶 待遞補人數減少 1 人
