事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-06-24,太平長億,隨到隨辦,三房型,關懷戶,名冊總人數變化,86,89,3,太平長億／隨到隨辦／三房型／關懷戶 名冊總人數增加 3 人
2026-06-24,太平長億,隨到隨辦,三房型,關懷戶,待遞補人數變化,81,84,3,太平長億／隨到隨辦／三房型／關懷戶 待遞補人數增加 3 人
2026-06-24,太平長億,隨到隨辦,二房型,一般戶,已遞補人數變化,6,5,-1,太平長億／隨到隨辦／二房型／一般戶 已遞補人數減少 1 人
2026-06-24,太平長億,隨到隨辦,二房型,關懷戶,名冊總人數變化,111,112,1,太平長億／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-06-24,太平長億,隨到隨辦,二房型,關懷戶,待遞補人數變化,102,103,1,太平長億／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-06-24,東區恊園,隨到隨辦,一房型,一般戶,名冊總人數變化,6,20,14,東區恊園／隨到隨辦／一房型／一般戶 名冊總人數增加 14 人
2026-06-24,東區恊園,隨到隨辦,一房型,一般戶,待遞補人數變化,6,20,14,東區恊園／隨到隨辦／一房型／一般戶 待遞補人數增加 14 人
2026-06-24,東區恊園,隨到隨辦,一房型,關懷戶,名冊總人數變化,0,7,7,東區恊園／隨到隨辦／一房型／關懷戶 名冊總人數增加 7 人
2026-06-24,東區恊園,隨到隨辦,一房型,關懷戶,待遞補人數變化,0,7,7,東區恊園／隨到隨辦／一房型／關懷戶 待遞補人數增加 7 人
2026-06-24,東區恊園,隨到隨辦,二房型,一般戶,名冊總人數變化,2,10,8,東區恊園／隨到隨辦／二房型／一般戶 名冊總人數增加 8 人
2026-06-24,東區恊園,隨到隨辦,二房型,一般戶,待遞補人數變化,2,10,8,東區恊園／隨到隨辦／二房型／一般戶 待遞補人數增加 8 人
2026-06-24,東區恊園,隨到隨辦,二房型,關懷戶,名冊總人數變化,2,9,7,東區恊園／隨到隨辦／二房型／關懷戶 名冊總人數增加 7 人
