抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率,已處理人數,上次已處理人數,本次推進人數,本週推進人數,最近4次平均推進人數
2026-06-23,太平育賢一期,隨到隨辦,二房型,關懷戶,206,182,463,852,0.4690721649484536,388,388.0,0.0,0.0,0.0
2026-06-22,太平育賢二期,隨到隨辦,一房型,一般戶,280,378,1461,2119,0.574468085106383,658,,,,
2026-06-23,太平育賢二期,隨到隨辦,一房型,一般戶,280,378,1464,2122,0.574468085106383,658,658.0,0.0,0.0,0.0
2026-06-22,太平育賢二期,隨到隨辦,一房型,關懷戶,39,108,586,733,0.7346938775510204,147,,,,
2026-06-23,太平育賢二期,隨到隨辦,一房型,關懷戶,38,108,587,733,0.7397260273972602,146,147.0,-1.0,-1.0,-1.0
2026-06-22,太平育賢二期,隨到隨辦,三房型,一般戶,70,23,105,198,0.2473118279569892,93,,,,
2026-06-23,太平育賢二期,隨到隨辦,三房型,一般戶,70,23,105,198,0.2473118279569892,93,93.0,0.0,0.0,0.0
2026-06-22,太平育賢二期,隨到隨辦,三房型,關懷戶,121,57,230,409,0.3202247191011236,178,,,,
2026-06-23,太平育賢二期,隨到隨辦,三房型,關懷戶,121,57,230,409,0.3202247191011236,178,178.0,0.0,0.0,0.0
2026-06-22,太平育賢二期,隨到隨辦,二房型,一般戶,12,142,745,899,0.922077922077922,154,,,,
2026-06-23,太平育賢二期,隨到隨辦,二房型,一般戶,12,142,745,899,0.922077922077922,154,154.0,0.0,0.0,0.0
2026-06-22,太平育賢二期,隨到隨辦,二房型,關懷戶,7,108,636,752,0.9391304347826088,115,,,,
2026-06-23,太平育賢二期,隨到隨辦,二房型,關懷戶,7,108,637,753,0.9391304347826088,115,115.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,一房型,一般戶,5,13,235,253,0.7222222222222222,18,,,,
2026-06-23,太平長億,隨到隨辦,一房型,一般戶,5,13,235,253,0.7222222222222222,18,18.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,一房型,關懷戶,1,2,109,112,0.6666666666666666,3,,,,
2026-06-23,太平長億,隨到隨辦,一房型,關懷戶,1,2,109,112,0.6666666666666666,3,3.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,三房型,一般戶,0,4,32,36,1.0,4,,,,
2026-06-23,太平長億,隨到隨辦,三房型,一般戶,0,4,32,36,1.0,4,4.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,三房型,關懷戶,0,5,81,86,1.0,5,,,,
